"Projeto","Cliente","Service Order","Workshop","Descrição da Atividade","Rastreabilidade","Qnt. Planejada","Qnt. Executada","Recursos Planejados","Recursos Utilizados","Setor","Semana","Ano","Dia","Status","Categoria Não Executado","Justificativa"
"CON-Upper DxE-470006117","Constellation","1024999","Riser","H4 Nudge Pin - Usinagem","Nudge Pin","9","9","1","1","CNC","W07","2026","04. Quinta","Concluído",,
"CON-Upper DxE-470006117","Constellation","1024999","Riser","H4 Nudge Pin - Send Item - Riser para Topside","Nudge Pin","9","9","1",,"Logistica","W07","2026","05. Sexta","Concluído",,
"CON-Upper DxE-470006117","Constellation","1024999","Topside&BOP","H4 Nudge Pin - Rastreabilidade/Sinagem","Nudget Pin","9","9","1",,"Mecânico Hidraulico","W07","2026","05. Sexta","Concluído",,
"CON-Upper DxE-470006117","Constellation","1024999","Topside&BOP","H4 Nudge Pin - Inspeção Visual/Dimensional ","Nudge Pin","9","9","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CON-Upper DxE-470006117","Constellation","1024999","Topside&BOP","H4 Nudge Pin - Inspeçao LP","Nudge Pin","9","9","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CSA - Lone Star","Constellation","470004732","Riser","RiCon - inspeção ","APS-031 e GDS-007","2",,"2",,"Inspeção","W07","2026","03. Quarta","Não Executado","Prioridade Alinhada com Planejamento","Priorizaram outras demandas"
"CSA - Lone Star","Constellation","470004732","Riser","ME nos risers - inspeção ","APS-022 / APS-071 / GDS-077","3","1","1","1","Inspeção","W07","2026","03. Quarta","Parcial",,"Riser empilhado - Feito só o APS-022"
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Preparação Sede VX/VT","Sede VX/VT","1","1","1","1","Cladding","W07","2026","02. Terça","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Solda Sede VX/VT","Sede VX/VT","1","1","1","1","Cladding","W07","2026","02. Terça","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Inspeção Visual/Dimensional de Solda","Sede VX/VT","1","1","1","1","Inspeção","W07","2026","03. Quarta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Usinagem Sede VX/VT","Sede VX/VT","0.5","0.5","1","2","D21","W07","2026","03. Quarta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Usinagem Sede VX/VT","Sede VX/VT","0.5","0.25","1","2","D21","W07","2026","04. Quinta","Parcial",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Inspeção Visual e Dimensional","Sede VX/VT","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Inspeção Líquido Penetrante","Sede VX/VT","1","1","1","1","Inspeção","W07","2026","05. Sexta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Send Item - Riser 01 para Riser 03","H4 UPPER","1","1","1",,"Logistica","W07","2026","05. Sexta","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Jateamento","H4 UPPER","1","1","1","1","Pintura","W07","2026","01. Segunda","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 Upper - Revestimento Epoxy","H4 UPPER","1","1","1","3","Pintura","W07","2026","06. Sábado","Concluído",,
"CON-Upper Body DxE-470007311","Constellation","470007311","Riser","H4 UPPER - SEND ITEM - RISER para TOPSIDE","H4 UPPER","1",,"1",,"Logistica","W07","2026","07. Domingo","Não Executado","Atividade Predecessora","Equipe ausente"
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Usinagem Sede VX/VT 16-3/4","H4 UPPER","0.5","0.5","1","2","D21","W07","2026","01. Segunda","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Usinagem Sede VX/VT 16-3/4","H4 UPPER","0.5","0.5","1","2","D21","W07","2026","02. Terça","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Visual and Dimensional Inspection","Pós Usinagem","0.5","1","1","1","Inspeção","W07","2026","04. Quinta","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Visual and Dimensional Inspection","Pós Usinagem","0.5","1","1","1","Inspeção","W07","2026","04. Quinta","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Inspeção Líquido Penetrante","Pós Usinagem","1","1","1","1","Inspeção","W07","2026","04. Quinta","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Inspeção PM","Pós Usinagem","1","1","1","1","Inspeção","W07","2026","04. Quinta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Corte de caixa CK","Xx","1","1","1","1","Bisel","W07","2026","01. Segunda","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Corte de caixa CK e BO","Xx","4","5","1","1","Bisel","W07","2026","02. Terça","Concluído",,"4 CK e 1 BO"
"CSA - Amaralina Star","Constellation","470004734","Riser","Corte de caixa BO","Xx","1","1","1","1","Bisel","W07","2026","03. Quarta","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Corte de caixa CK","Xx","4","4","1","1","Bisel","W07","2026","04. Quinta","Concluído",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Send Item Riser 01 para Riser 03","H4 UPPER","1",,"1",,"Logistica","W07","2026","03. Quarta","Não Executado",,
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Jateamento","H4 Upper","1",,"1",,"Pintura","W07","2026","03. Quarta","Não Executado","Atividade Predecessora","Peça não saiu do riser 1"
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Fosfato","H4 Upper","1",,"1",,"Pintura","W07","2026","03. Quarta","Não Executado","Atividade Predecessora","Peça não saiu do riser 1"
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Epoxy","H4 Upper","0.5",,"1",,"Pintura","W07","2026","04. Quinta","Não Executado","Atividade Predecessora","Peça não saiu do riser 1"
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Epoxy","H4 Upper","0.5",,"1",,"Pintura","W07","2026","05. Sexta","Não Executado","Atividade Predecessora","Peça não saiu do riser 1"
"CON-Upper DxE-470006117","Constellation","470006117","Riser","H4 Upper - Send Item - Riser 03 para Topside","H4 Upper","1",,"1",,"Logistica","W07","2026","06. Sábado
","Não Executado",,
"CSA - Lone Star","Constellation","470004732","Riser","Receptáculo fabricados CK - fosfato","Xx","2",,"2",,"Pintura","W07","2026","05. Sexta","Não Executado","Atividade Predecessora","Peça não saiu do riser 1"
"CSA - Lone Star","Constellation","470004732","Riser","Caixa de BO - fosfato","Xx","2",,"2",,"Pintura","W07","2026","05. Sexta","Não Executado","Atividade Predecessora","Peça não saiu do riser 1"
"CSA - Amaralina Star","Constellation","470004734","Riser","Seal Sub - soldagem cladding","AMS-034","0.5","0.5","2","2","Cladding","W07","2026","01. Segunda","Concluído",,
"CSA - Amaralina Star","Constellation","470004734","Riser","Seal Sub - soldagem cladding","AMS-034","0.5","0.5","2","1","Cladding","W07","2026","02. Terça","Concluído",,
